id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
42547,Simon Gray,M,21.0,184.0,75.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 400 metres Individual Medley,
42548,Sonya Gray (-Seville),F,16.0,168.0,61.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Freestyle,
42549,Susan Douglas Gray (-McGreivy),F,17.0,170.0,58.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 400 metres Freestyle,
42553,"Jeffrey ""Jeff"" Grayer",M,22.0,195.0,91.0,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Bronze
42557,Graziane de Jesus Coelho,F,25.0,191.0,104.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
42570,Damien David Greaves,M,22.0,181.0,89.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,
42572,Wilbert Ethelbert Greaves,M,23.0,187.0,77.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 110 metres Hurdles,
42572,Wilbert Ethelbert Greaves,M,27.0,187.0,77.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,
42607,"William Ernest ""Bill"" Green",M,24.0,186.0,109.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Hammer Throw,
42610,Brian William Green,M,31.0,167.0,68.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,
42610,Brian William Green,M,31.0,167.0,68.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,
42610,Brian William Green,M,31.0,167.0,68.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,
42622,Draymond Jamal Green,M,26.0,200.0,104.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
42631,Jack Peter Green,M,20.0,193.0,78.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,
42631,Jack Peter Green,M,20.0,193.0,78.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,
42631,Jack Peter Green,M,24.0,193.0,78.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,
42635,June Margaret Green,F,13.0,167.0,69.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 400 metres Freestyle,
42635,June Margaret Green,F,13.0,167.0,69.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 800 metres Freestyle,
42637,Josephine Mary Green (-Tagg),F,24.0,166.0,51.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 400 metres,
42641,Michael Green,M,24.0,192.0,89.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,
42662,"Charles Edward ""Charlie"" Greene",M,23.0,173.0,69.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,Bronze
42662,"Charles Edward ""Charlie"" Greene",M,23.0,173.0,69.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
42663,"David Thomas ""Dai"" Greene",M,26.0,185.0,78.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,
42663,"David Thomas ""Dai"" Greene",M,26.0,185.0,78.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,
42665,Demond William Greene,M,29.0,185.0,95.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,
42668,"Joseph Tilford Lee ""Joe"" Greene",M,25.0,183.0,70.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Long Jump,Bronze
42668,"Joseph Tilford Lee ""Joe"" Greene",M,29.0,183.0,70.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,Bronze
42669,Maurice Greene,M,26.0,176.0,80.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,Gold
